group_id,confidence,confidence_score,recommendation,perusahaan_id,nama_usaha,alamat,your_reasoning
DUP_008,DEFINITE_DUPLICATE,91,MERGE,42867086,ADI CIPTA UTAMA KARYA,JLN BAU MASSEPE NO 338,"Nama sangat mirip, alamat/GPS mendukung"
DUP_008,DEFINITE_DUPLICATE,91,MERGE,6428967,"ADI CIPTA UTAMA KARYA, PT",JL BAU MASSEPE NO. 338,"Nama sangat mirip, alamat/GPS mendukung"
DUP_009,DEFINITE_DUPLICATE,95,MERGE,171251,"KARYA PARE SEJAHTERA, PT",JL. ANDI CAMMI NO. 19 PAREPARE,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_009,DEFINITE_DUPLICATE,95,MERGE,6429007,"KARYA PARE SEJAHTERA, PT",JL CUMI-CUMI NO 23,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_010,DEFINITE_DUPLICATE,95,MERGE,171252,"KILAT KARYA KONSTRUKSI, PT",Jl. Cumi-Cumi No.21,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_010,DEFINITE_DUPLICATE,95,MERGE,43108383,KILAT KARYA KONSTRUKSI,JALAN CUMI CUMI NO 21,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_010,DEFINITE_DUPLICATE,95,MERGE,6428970,"KILAT KARYA KONSTRUKSI, PT",JL CUMI-CUMI NO 23,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_011,DEFINITE_DUPLICATE,95,MERGE,18166345,CV.SURYA,JL.LAUPE NO.58 KEL.BUKIT HARAPAN,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_011,DEFINITE_DUPLICATE,95,MERGE,3042792,SURYA,JL. LAUPE,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_012,PROBABLE_DUPLICATE,85,MERGE,18171854,cv.karya zamzam,Jl.Jendral Ahmad Yani No 2,"Nama sangat mirip, alamat/GPS mendukung"
DUP_012,PROBABLE_DUPLICATE,85,MERGE,4354000,KARYA ZAM ZAM,JL. JEND. AHMAD YANI,"Nama sangat mirip, alamat/GPS mendukung"
DUP_013,DEFINITE_DUPLICATE,89,MERGE,18358088,KAAFFAH LEARNING CENTER,PERUM GRIYA BUMI HARAPAN PERMAI,"Nama sangat mirip, alamat/GPS mendukung"
DUP_013,DEFINITE_DUPLICATE,89,MERGE,4278360,KAAFFAH LEARNING CENTER,SYAMSU ALAM BULU KOTA PAREPARE,"Nama sangat mirip, alamat/GPS mendukung"
DUP_013,DEFINITE_DUPLICATE,89,MERGE,43086090,KAAFFAH LEARNING CENTER,GRIYA BUMI HARAPAN PERMAI B44,"Nama sangat mirip, alamat/GPS mendukung"
DUP_014,DEFINITE_DUPLICATE,95,MERGE,18358459,KARYAGUNAMANDIRI KAGUM,JL.H.A.M. ARSYAD,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_014,DEFINITE_DUPLICATE,95,MERGE,57514356,CV. Karyagunamandiri Kagum,Jl. H. A. M. Arsyad,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_015,DEFINITE_DUPLICATE,87,MERGE,18358477,HI RAY,JL. BALANA NO. 1,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_015,DEFINITE_DUPLICATE,87,MERGE,41162986,Hi ray,jl. balanak,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_015,DEFINITE_DUPLICATE,87,MERGE,43050531,HI RAY,JL BALANA NO 1,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_016,DEFINITE_DUPLICATE,95,MERGE,18358807,MEKANIK KLASIK,JL. PINISI NO 23,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_016,DEFINITE_DUPLICATE,95,MERGE,43171438,MEKANIK KLASIK,JL PINISI NO 23,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_017,PROBABLE_DUPLICATE,90,MERGE,18359142,GRAFIS ENGINEERING,Perumahan Taman Palem Blok E/6,"Nama sangat mirip, alamat/GPS mendukung"
DUP_017,PROBABLE_DUPLICATE,90,MERGE,57533065,CV. GRAFISENGINEERING,Perumahan Taman Palem Blok E/6,"Nama sangat mirip, alamat/GPS mendukung"
DUP_018,DEFINITE_DUPLICATE,95,MERGE,18359595,IZDIHAAR FADHILAH,BTN CITRA BUANA MAS BLOK. LHR 1 NO. 61,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_018,DEFINITE_DUPLICATE,95,MERGE,43074528,IZDIHAAR FADHILAH,BTN CITRA BUANA MAS BLOK. LHR 1 NO. 61,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_018,DEFINITE_DUPLICATE,95,MERGE,57527509,CV. IZDIHAAR FADHILAH, BTN. Citra Buana Mas Blok LHR 1 No. 61 RT.00 Lapadde Ujung,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_019,DEFINITE_DUPLICATE,95,MERGE,18359613,KANZAN,Jl. Andi Mappatola 1 No. 8,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_019,DEFINITE_DUPLICATE,95,MERGE,57533056,CV.KANZAN,JL.ANDI MAPPATOLA 1 NO.8,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_020,PROBABLE_DUPLICATE,88,MERGE,18359673,DZUL QUWWATIL MATIIN,JL. AMAL BAKTI,"Nama sangat mirip, alamat/GPS mendukung"
DUP_020,PROBABLE_DUPLICATE,88,MERGE,43386838,TK-IT DZUL QUWWATIL MATIIN,JL.AMAL BAKTI,"Nama sangat mirip, alamat/GPS mendukung"
DUP_021,DEFINITE_DUPLICATE,95,MERGE,223909,KPRI SMP NEG 1,Ujung,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_021,DEFINITE_DUPLICATE,95,MERGE,223940,KPRI SMP NEG 10,Ujung,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_022,DEFINITE_DUPLICATE,88,MERGE,223910,KPRI SMP NEG 2,Soreang,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_022,DEFINITE_DUPLICATE,88,MERGE,223924,KPRI SMP NEG 6,Soreang,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_022,DEFINITE_DUPLICATE,88,MERGE,223947,KPRI SMA NEG 3,Soreang,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_023,DEFINITE_DUPLICATE,95,MERGE,223932,KPRI SMP NEG 5,Bacukiki,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_023,DEFINITE_DUPLICATE,95,MERGE,223945,KPRI SMP NEG 9,Bacukiki,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_024,PROBABLE_DUPLICATE,85,MERGE,223941,KPRI FISCA SARI,JEND. SUDIRMAN,"Nama sangat mirip, alamat/GPS mendukung"
DUP_024,PROBABLE_DUPLICATE,85,MERGE,97465611,KOPERASI FISCA SARI,JL JEND SUDIRMAN,"Nama sangat mirip, alamat/GPS mendukung"
DUP_025,DEFINITE_DUPLICATE,88,MERGE,223962,KOPKARTEL MAPPADECENG,JL.. SULTAN HASANUDDIN NO. 20,"Nama sangat mirip, alamat/GPS mendukung"
DUP_025,DEFINITE_DUPLICATE,88,MERGE,3811695,KOPKARTEL MAPPADECENG,JL SULTAN HASANUDDIN,"Nama sangat mirip, alamat/GPS mendukung"
DUP_025,DEFINITE_DUPLICATE,88,MERGE,43127132,KOPKARTEL MAPPADECENG,JLN SULTAN HASANUDDIN NO.20,"Nama sangat mirip, alamat/GPS mendukung"
DUP_026,DEFINITE_DUPLICATE,95,MERGE,223977,KSU TUNAS BARU,Bacukiki,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_026,DEFINITE_DUPLICATE,95,MERGE,5409358,TOKO TUNAS BARU,JL LAHALEDE,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_027,PROBABLE_DUPLICATE,85,MERGE,223988,KSU UMRAH,Soreang,"Nama sangat mirip, alamat/GPS mendukung"
DUP_027,PROBABLE_DUPLICATE,85,MERGE,5409379,TOKO KELONTONG <UMRAH>,J L GEREJA SION,"Nama sangat mirip, alamat/GPS mendukung"
DUP_028,DEFINITE_DUPLICATE,95,MERGE,22493,Optik Irama Jaya,Jl. Sultan Hasanuddin no. 33,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_028,DEFINITE_DUPLICATE,95,MERGE,43214630,OPTIK IRAMA JAYA,JALAN SULTAN HASANUDDIN NO 33,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_029,DEFINITE_DUPLICATE,77,MERGE,2473021,MT. ASHABUL KAHFI,"Galung Maloang, Kec. Bacukiki, Kota Parepare, Sulawesi Selatan 91125","Nama sangat mirip, alamat/GPS mendukung"
DUP_029,DEFINITE_DUPLICATE,77,MERGE,3779423,RA. ASHABUL KAHFI,JL. M. YUSUF LINGKAR TASSISO,"Nama sangat mirip, alamat/GPS mendukung"
DUP_029,DEFINITE_DUPLICATE,77,MERGE,42908926,ASHABUL KAHFI,JL. M. YUSUF LINGKAR TASSISO,"Nama sangat mirip, alamat/GPS mendukung"
DUP_029,DEFINITE_DUPLICATE,77,MERGE,6428575,"ASHABUL KAHFI, CV",JL LINGKAR TASSISO,"Nama sangat mirip, alamat/GPS mendukung"
DUP_029,DEFINITE_DUPLICATE,77,MERGE,97474052,ASHABUL KAHFI CV,JL LINGKAR TASSISO,"Nama sangat mirip, alamat/GPS mendukung"
DUP_030,DEFINITE_DUPLICATE,95,MERGE,2479427,MATAHARI MANDIRI,JLH A M ARSYAD,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_030,DEFINITE_DUPLICATE,95,MERGE,6428707,"MATAHARI MANDIRI, CV",JL H. A. M. ARSYAD,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_031,PROBABLE_DUPLICATE,85,MERGE,2482712,ANANDA LESTARI,JL. M. ARSYAD,"Nama sangat mirip, alamat/GPS mendukung"
DUP_031,PROBABLE_DUPLICATE,85,MERGE,3463485,LKP ANANDA LESTARI,JL. ANDI MAKKASAU,"Nama sangat mirip, alamat/GPS mendukung"
DUP_032,DEFINITE_DUPLICATE,95,MERGE,2494715,SARTIKA,"JL.H.A. AMIN LAENGKE NO. 4, LAKESSI","Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_032,DEFINITE_DUPLICATE,95,MERGE,6428791,"SARTIKA, CV",JL H.A. AMIN LAENGKE NO 4,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_033,DEFINITE_DUPLICATE,95,MERGE,2510737,VIQRA AZZAHRA KONSTRUKSI,BTN SOREANG PERMAI BLOK N / 12,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_033,DEFINITE_DUPLICATE,95,MERGE,6429002,"VIQRA AZZAHRA KONSTRUKSI, PT",BTN SOREANG PERMAI BLOK N/12,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_034,DEFINITE_DUPLICATE,95,MERGE,2520766,RDH MEDIA PAREPARE,PERUMAHAN BTN PONDOK BAHAGIA,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_034,DEFINITE_DUPLICATE,95,MERGE,43276751,RDH MEDIA PAREPARE,BTN PONDOK BAHAGIA BLOK D NOMOR 10,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_035,DEFINITE_DUPLICATE,95,MERGE,2530992,PARE TEHNIK,JL H. ABD. HAMID SALEH,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_035,DEFINITE_DUPLICATE,95,MERGE,43225371,PARE TEHNIK TOKO,JLN LASINRANG NO 24 PAREPARE,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_035,DEFINITE_DUPLICATE,95,MERGE,97443886,TOKO PARE TEHNIK,JL LASINRANG,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_035,DEFINITE_DUPLICATE,95,MERGE,97503964,PARE TEHNIK,JALAN Lasinrang Depan Alfamart No. 26,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_036,DEFINITE_DUPLICATE,95,MERGE,2532228,CSC 94 KONSULTAN,JL SAPTA MARGA PERUM NAP,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_036,DEFINITE_DUPLICATE,95,MERGE,6428727,"CSC 94 KONSULTAN, CV",JL SAPTA MARGA PERUM NAP,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_037,PROBABLE_DUPLICATE,85,MERGE,2570060,TOKO MELATI LOROSAE,"Jl. Abdul Kadir, Labukkang, Kec. Ujung, Kota Parepare, Sulawesi Selatan 91111","Nama sangat mirip, alamat/GPS mendukung"
DUP_037,PROBABLE_DUPLICATE,85,MERGE,55761078,TOKO MELATI LOROSAE <WATI>,"Jl. H. Agussalim, RT 1/RW 5","Nama sangat mirip, alamat/GPS mendukung"
DUP_038,DEFINITE_DUPLICATE,95,MERGE,2580648,MULIA MEDICA,JL H. AGUSSALIM,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_038,DEFINITE_DUPLICATE,95,MERGE,43193522,MULIA MEDICA,JL H AGUSSALIM NO 127,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_038,DEFINITE_DUPLICATE,95,MERGE,57572697,Mulia Medica,Jalan Agus Salim No.127,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_039,DEFINITE_DUPLICATE,95,MERGE,2592642,"MOJONG SUKSES BERSAMA, PT",Jl. Bumi Harapan No. 5,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_039,DEFINITE_DUPLICATE,95,MERGE,43188862,MOJONG SUKSES BERSAMA,JL BUMI HARAPAN NO.5,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_040,DEFINITE_DUPLICATE,95,MERGE,2600588,AN NURRAZAQ ABADI,JL. OPU DG. RISAJU,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_040,DEFINITE_DUPLICATE,95,MERGE,6428633,"AN NURRAZAQ ABADI, CV",JL OPU DG. RISAJU NO 18 PAREPARE,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_041,DEFINITE_DUPLICATE,95,MERGE,260617,RSUD ANDI MAKKASAU PAREPARE,JL. NURUSSAMAWATI NO. 9,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_041,DEFINITE_DUPLICATE,95,MERGE,42788947,RSUD ANDI MAKKASAU PAREPARE,Jalan Nurussamawati Nomor 9,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_042,DEFINITE_DUPLICATE,95,MERGE,2617336,TK AISYIYAH BUSTANUL ATHFAL 2,JL A MALLARANGENG,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_042,DEFINITE_DUPLICATE,95,MERGE,43373388,TK AISYIYAH BUSTANUL ATHFAL 2,JL. ANDI MALLARANGENG NO. 4,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_043,DEFINITE_DUPLICATE,95,MERGE,2618878,AMNUR SEJAHTERA,JL JENDERAL SUDIRMAN,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_043,DEFINITE_DUPLICATE,95,MERGE,6428925,"AMNUR SEJAHTERA, CV",JL JEND SUDIRMAN,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_044,PROBABLE_DUPLICATE,85,MERGE,2630320,NUSANTARA LAND DEVELOPMENT,JL BAMBU RUNCING,"Nama sangat mirip, alamat/GPS mendukung"
DUP_044,PROBABLE_DUPLICATE,85,MERGE,43211563,NUSANTARA LAND DEVELOPMENT,JL BAMBU RUNCING NO 12B,"Nama sangat mirip, alamat/GPS mendukung"
DUP_045,DEFINITE_DUPLICATE,95,MERGE,2636471,SINAR AGUNG,"JL. JEND. SUDIRMAN NO. 68, BUMI HARAPAN","Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_045,DEFINITE_DUPLICATE,95,MERGE,97476678,CV SINAR AGUNG,JALAN JEND SUDIRMAN,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_046,DEFINITE_DUPLICATE,95,MERGE,2660806,PAMULANG JAYA MANDIRI,"JL KASUARI BLOK.F NO.92 PERUMNAS RT.006 RW.005, LOMPOE","Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_046,DEFINITE_DUPLICATE,95,MERGE,4012982,PAMULANG JAYA MANDIRI,"JL.KASUARI BLOK.F NO.92 PERUMNAS RT.006 RW.005, LOMPOE","Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_047,PROBABLE_DUPLICATE,85,MERGE,2663276,CAHAYA ILAHI BAROKAH,JL JEND M YUSUF PERUMAHAN GRAND D'NAILAH,"Nama sangat mirip, alamat/GPS mendukung"
DUP_047,PROBABLE_DUPLICATE,85,MERGE,6428573,"CAHAYA ILAHI BAROKAH, PT",JL JEND M YUSUF BTN DNAILA BLOK C NO 6,"Nama sangat mirip, alamat/GPS mendukung"
DUP_048,PROBABLE_DUPLICATE,85,MERGE,2678350,PRATOMO PUTRA TEKNIK,JALAN GELATIK BLOK D NOMOR 13 PERUMNAS,"Nama sangat mirip, alamat/GPS mendukung"
DUP_048,PROBABLE_DUPLICATE,85,MERGE,6428946,"PRATOMO PUTRA TEKNIK, CV",JL GELATIK BLOK D NO 13,"Nama sangat mirip, alamat/GPS mendukung"
DUP_049,DEFINITE_DUPLICATE,83,MERGE,2689641,HJ. MARYAM PROPERTY,TASSISO,"Nama sangat mirip, alamat/GPS mendukung"
DUP_049,DEFINITE_DUPLICATE,83,MERGE,2721206,HAJJAH MARYAM PROPERTI,JL TASSISO,"Nama sangat mirip, alamat/GPS mendukung"
DUP_049,DEFINITE_DUPLICATE,83,MERGE,6429003,"HAJJAH MARYAM PROPERTI, PT",JL TASSISO,"Nama sangat mirip, alamat/GPS mendukung"
DUP_050,DEFINITE_DUPLICATE,95,MERGE,2701054,PROJECT BREW,JL.LASIMING LR 5,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_050,DEFINITE_DUPLICATE,95,MERGE,43256836,PROJECT BREW,JL. LASIMING PERUM TOWN HOUSE BLOK A/7,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_051,DEFINITE_DUPLICATE,95,MERGE,2714063,PARALEL INTI NUSANTARA,JL. LAUPE no. 104,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_051,DEFINITE_DUPLICATE,95,MERGE,43224997,PARALEL INTI NUSANTARA,JL LAUPE NO 104,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_052,DEFINITE_DUPLICATE,95,MERGE,2715098,TK AISYIYAH 5,JLN. JALUR DUA PNS WEKKE'E RT. 003 RW. 006,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_052,DEFINITE_DUPLICATE,95,MERGE,43373191,TK AISYIYAH 5,JL. JALUR DUA PNS PERUMNAS,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_053,DEFINITE_DUPLICATE,95,MERGE,2721285,TONRANGENG RIVER SIDE,JALAN JENDRAL MUH YUSUF NO.20,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_053,DEFINITE_DUPLICATE,95,MERGE,43399316,TONRANGENG RIVER SIDE,JALAN JENDRAL MUH YUSUF NO 20 KEL. LOMPOE,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_054,DEFINITE_DUPLICATE,95,MERGE,2734668,AFA KLUPAS MEDIA,PERUMAHAN GRIYA ARHY MANDIRI BLOK B NOMOR 2,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_054,DEFINITE_DUPLICATE,95,MERGE,42869611,AFA KLUPAS MEDIA,PERUM GRIYA ARHY MANDIRI BLOK B NO 2,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_055,PROBABLE_DUPLICATE,85,MERGE,2749243,SAWITTO MALLOMO INDAH,JL. JEND MUH YUSUF,"Nama sangat mirip, alamat/GPS mendukung"
DUP_055,PROBABLE_DUPLICATE,85,MERGE,43306937,SAWITTO MALLOMO INDAH,JL. JEND. MUH. YUSUF LINGKAR,"Nama sangat mirip, alamat/GPS mendukung"
DUP_056,DEFINITE_DUPLICATE,95,MERGE,2816670,RUMAH MAKAN CV GLORY,JALAN JEND AHMAD YANI NO 16,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_056,DEFINITE_DUPLICATE,95,MERGE,43033248,GLORY,JLN AHMAD YANI,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_057,DEFINITE_DUPLICATE,95,MERGE,2847225,TK NURUL HUDA,JL. ANDI CAMMI NO. 52,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_057,DEFINITE_DUPLICATE,95,MERGE,43381969,TK NURUL HUDA,JL. ANDI CAMMI NO 50,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_058,DEFINITE_DUPLICATE,95,MERGE,2849389,CV. AIRA MEDIKA PRATAMA,JL. BAU MASSEPE,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_058,DEFINITE_DUPLICATE,95,MERGE,42873702,AIRA MEDIKA PRATAMA,JL. BAU MASSEPE NO. 159,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_059,DEFINITE_DUPLICATE,95,MERGE,2853317,FEDERAL INTERNATIONAL FINANCE,JL BAU MASSEPE (RUKO PATUNG PEMUDA),"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_059,DEFINITE_DUPLICATE,95,MERGE,97495686,PT. Federal International Finance,JALAN BAU MASSEPE (RUKO PATUNG PEMUDA),"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_060,DEFINITE_DUPLICATE,95,MERGE,2873360,REZKY ARHY MANDIRI,JL AHMAD YANI KM 3,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_060,DEFINITE_DUPLICATE,95,MERGE,43280814,REZKY ARHY MANDIRI,JL JEND AHMAD YANI,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_061,PROBABLE_DUPLICATE,85,MERGE,2909794,MAHADEWA,JL. BAU MASSEPE NO 131,"Nama sangat mirip, alamat/GPS mendukung"
DUP_061,PROBABLE_DUPLICATE,85,MERGE,6611832,Toko Mahadewa,Jalan Bau Massepe No.98,"Nama sangat mirip, alamat/GPS mendukung"
DUP_062,DEFINITE_DUPLICATE,84,MERGE,2911530,NUR KARYA ELEKTRIK PARE,JALAN KIJANG,"Nama sangat mirip, alamat/GPS mendukung"
DUP_062,DEFINITE_DUPLICATE,84,MERGE,43209607,NUR KARYA ELEKTRIK PARE,JALAN KIJANG NO I,"Nama sangat mirip, alamat/GPS mendukung"
DUP_062,DEFINITE_DUPLICATE,84,MERGE,6428917,"NUR KARYA ELEKTRIK, PT",JL KIJANG NO 3,"Nama sangat mirip, alamat/GPS mendukung"
DUP_062,DEFINITE_DUPLICATE,84,MERGE,97493959,PT NUR KARYA ELEKTRIK PARE,JALAN KIJANG NO 3,"Nama sangat mirip, alamat/GPS mendukung"
DUP_063,PROBABLE_DUPLICATE,82,MERGE,2912466,SD SYARIKAT ISLAM PAREPARE,JL. OPU DAENG RISAJU,"Nama sangat mirip, alamat/GPS mendukung"
DUP_063,PROBABLE_DUPLICATE,82,MERGE,42791077,SERIKAT ISLAM PAREPARE,JL. OPU DAENG RISAJU NO. 8,"Nama sangat mirip, alamat/GPS mendukung"
