idsbr,nama_usaha,nama_komersial_usaha,alamat,nama_sls,kodepos,nomor_telepon,nomor_whatsapp,email,website,latitude,longitude,keberadaan_usaha,kdprov,kdkab,kdkec,kddesa
97442217,JUAL VOUCHER (SYAHRIR),,JL JEND AHMAD YANI,,,24359999,,,,,,1,73,72,030,007
97447167,SUBANDI UD,,BTN TIMURAMA,,,37765617,,,,,,1,73,72,010,004
97447842,SENI DAN REKLAME,,JL.A .SINTA LR 1,,,38900777,,,,,,1,73,72,030,004
97447178,TOKO STAR,,JL SULTAN HASANUDDIN NO 77,,,42251322,,,,,,1,73,72,020,003
97456150,TUKANGJAHIT (SARINA),,J L SUAKA ALAM LESTARI,,,,,,,,,1,73,72,011,002
97456176,TOKO PARAHYANGAN,,JL LAHALEDE,,,,,,,,,1,73,72,030,004
97448095,SUMBER AGUNG PARFUM,,JL LAHALEDE,,,42432243,,,,,,1,73,72,030,004
97447072,MENJUAL AIR ISI ULANG <SYARIFUDDIN>,,JALAN H AGUSSALIM NO 73,,,085341757687,,,,,,1,73,72,011,006
97442269,PRAKTEK KEBIDANAN,,JL KESUMA NO 15,,,,,,,,,1,73,72,011,006
97448118,APOTIK BUNDA DARTIKA,,JLN BAU MASSEPE,,,55000856,,,,,,1,73,72,011,004
97448123,SMK FARMASI YASARI PAREPARE,,JL OPU DG RISAJU,,,42916541,,FARMASIPAREPARE@YAHOO.CO.ID,,,,1,73,72,030,004
97447888,DAUR ULANG PLASTIK (TAUPAN),,JALAN LINTAS BRIMOB,,,34817029,,,,,,1,73,72,011,002
97448147,SITTLE OWW KIDZ DISTRO AND CAFE,,JALAN BEUMASSEPE NO 131,,,555757,,,,,,1,73,72,011,006
97448162,APOTIK BUNDA ROSI (BASUKI AHMAD),,JALAN BAUMASSEPE NO 109,,,,,,,,,1,73,72,011,006
97442479,BAR LOSARI,,JL MATTIROTASI,,,,,,,,,1,73,72,011,004
97444845,TOKO KELONTONG (NASLIA),,JALAN LINTAS BRIMOB <KAMPUNG MANDAR>,,,54917830,,,,,,1,73,72,011,002
97448196,BUTIK HJ ROS (ROS),,JALAN BAUMASSEPE,,,73888053,,,,,,1,73,72,011,006
97447569,KOLAM RENANG JOMPIE,,JL WISATA JOMPIE,,,,,,,,,1,73,72,030,007
97446298,USAHA PEMBUATAN TEMPE (UDIN T),,JALAN LINTAS BRIMOB,,,,,,,,,1,73,72,011,002
97451118,ALVIN CELL,,JL ANDI SINTA,,,42343839,,,,,,1,73,72,030,004
97450210,HOTEL MIRANDA,,JL LAHALEDE,,,468838,,MIRANDAHOTELPAREPARE@GMAIL.COM,,,,1,73,72,030,004
97470722,JUAL HIJAB ONLINE(HARTINA ARINAL),,JALANMAHONI,,,41583712,,ialc.hartinaarinal@yahoo.com,,,,1,73,72,011,002
97451132,PABRIK MIE MAKMUR,,JL BAU MASSEPE NO 131,,,21344,,,,,,1,73,72,011,006
97451216,UD MALLONGI LONGI (H THAMRIN),,JL JENDRAL SUDIRMAN,,,55338406,,,,,,1,73,72,020,005
97445051,PEMBORONG BANGUNAN (SUKIMAN),,JALAN LINTAS BRIMOB,,,33000187,,,,,,1,73,72,011,002
97442545,WARUNG NASI (NURASIA),,JL.GELORA MANDIRI,,,,,,,,,1,73,72,010,004
97451158,TOKO JUJUR,,JALAN SULTAN HASANUDDIN NO. 40,,,24056,,,,,,1,73,72,020,003
97444878,BENGKEL LAS <FAIZAL>,,JALAN JENDRAL SUDIRMAN,,,082191948469,,,,,,1,73,72,011,002
97450292,KELOLA IKAN CAHAYA PAMMASE,,JL.MATTIROTASI NO.6 7,,,,,,,,,1,73,72,011,006
97450289,Klinik Utama aisyiyah sitti khadijah,Klinik Utama aisyiyah sitti khadijah,JL PETTANARAJENG NO 5,,,042121313,-8241,st.khadijahpare2@gmail.com,http://www.sittikhadijahpare.co.id/index.php,-4.0090882114118,119.62691398212,1,73,72,030,003
97450274,AGEN GAS LPG (USMAN),,JALAN JEND M YUSUF PERUMNAS BLOK E,,,42674260,,,,,,1,73,72,010,004
97442338,KIOS KELONTONG (AZIZ),,JL A DEWANG,,,55231716,,,,,,1,73,72,011,003
97443395,24 CELL DAN ACCESORIS,,JL ALWI ABD DJALIL HABIBIE,,,55755591,,ARYKHA@YAHOO.CO.ID,,,,1,73,72,020,003
97443173,PRAKTEK NUR MEDIKA,,JALAN BAUMASSEPE,,,08124240304,,,,,,1,73,72,020,001
97457902,WARUNG KOPI AB,,JALAN KEBUN SAYUR,,,87879784,,,,,,1,73,72,030,005
97453548,REFLEKSI KESEHATAN (FAISAL,,JL.BAU MASSEPE NO.191,,,23566,,,,,,1,73,72,011,006
97456740,KANTIN KEJUJURAN SD 2,,JL ABUBAKAR LAMBOGO,,,41560460,,,,,,1,73,72,030,004
97453509,SUMBER TEKNIK,,JL LAHALEDE,,,4201469,,,,,,1,73,72,030,004
97456730,KANTIN KEJUJURAN SDN 19,,JL ABUBAKAR LAMBOGO,,,33594402,,,,,,1,73,72,030,004
97460076,RUSKIN UD,,JL MENARA,,,46558172,,,,,,1,73,72,030,006
97456734,KANTIN KEJUJURAN SDN 38,,JL ABUBAKAR LAMBOGO,,,47466633,,,,,,1,73,72,030,004
97452356,USAHA BUMBU DAPUR / REMPAH (MUH WAWAN),,JALAN KEBUN SAYUR,,,,,,,,,1,73,72,030,005
97451983,TOKO DCZ,,JALAN BAUMASSEPE,,,,,,,,,1,73,72,011,006
97449422,SUARA TEHNIK,,JL ANDI MAKKASAU,,,4197363,,,,,,1,73,72,030,003
97453572,WARKOP ALYA (SUYUTI),,JL.MATTIROTASI,,,,,,,,,1,73,72,011,006
97456783,IQBAL GAMES,,JL LAHALEDE,,,99955554,,,,,,1,73,72,030,004
97464514,HOTEL 88,,JALAN BAU MASSEPE,,,,,,,,,1,73,72,011,004
97464495,USAHA HARIANY (HAMKA),,JALAN H AGUSSALIM,,,,,,,,,1,73,72,011,006
97464530,GARUDA COLLEGE (IRWAN),,JALAN H A. AR 5 YA D A O. 9,,,22460,,,,,,1,73,72,030,005
97450469,CS CELLULER,,JL LAHALEDE,,,143704003,,ANAZIECLER87@GMAIL.COM,,,,1,73,72,030,004
97449441,WARUNG SOP SAUDARA,,JL BAU MASSEPE NO 147,,,,,,,,,1,73,72,011,006
97450444,WARUNG MAKAN SEKUMPUL,,JALAN LANG SAT NO 5,,,,,,,,,1,73,72,011,006
97450471,TOKO DEREZK COLLECTION,,JALAN LANGSAT NO 3,,,43907990,,,,,,1,73,72,011,006
97453621,BENGKEL JAYA MOTOR,,JALAN H A ABU BAKAR,,,43489132,,,,,,1,73,72,020,003
97464533,USAHA JUAL KAYU ANDY,,JALAN BAU MASSEPE,,,48550007,,,,,,1,73,72,011,004
97460174,MELODY KID`S,,JL LAHALEDE,,,41202202,,,,,,1,73,72,030,004
97464549,TOK O HERAWATI,,JL MAPPATOLA NO.3,,,46182740,,,,,,1,73,72,020,003
97460168,KARAOKE INUL VISTA,,JL ANDI MAKKASAU NO 7,,,25999,,,,,,1,73,72,030,001
97464557,PEMBORONG ( SAHRIR),,JL SYAMSU ALAM BULU,,,,,,,,,1,73,72,011,002
97452082,TOKO SURYA BANGUNAN,,JL BAU MASSEPE NO 129,,,27647,,,,,,1,73,72,011,006
97452078,PRASMANAN MERCUSUAR,,JALAN BAUMASSEPE NO 125,,,,,,,,,1,73,72,011,006
97452079,PRAKTER DOKTER UMUM <ERIANSJAH LESMANA>,,JALAN SULTAN HASANUDDIN,,,042124622,,,,,,1,73,72,020,003
97450502,TOKO ABU NOVAL PARFUM,,JALAN BAUMASSEPE NO 424,,,,,,,,,1,73,72,011,006
97449507,USAHA MENCUCI LAUDRY (M GUNTUR),,JALAN RAMBUTAN NO 2,,,42895220,,,,,,1,73,72,011,006
97457989,MAJU RESEKI,,JL LAHALEDE,,,05160293,,,,,,1,73,72,030,004
97456851,PENYEWAAN KAMAR <SYAMSUDDIN >,,JL LAMBO,,,081242022021,,,,,,1,73,72,011,004
97460177,THE DOOS SCHOOL,,JL PENGAYOMAN,,,085323335213,,,,,,1,73,72,011,004
97453706,RUMAH MAKAN AYAM PENYET RIA,,JL ANDI MAKKASAU NO 55,,,21333,,,,,,1,73,72,030,001
97449532,PONDOK CERIA,,JL ANDI MAKKASAU TIMUR,,,1552622301,,,,,,1,73,72,030,004
97458017,LANCAR JAYA CELL,,JL LAHALEDE,,,44187777,,,,,,1,73,72,030,004
97453749,RUMAH MAKAN GOYANG LIDAH (ASRIL),,JL BAU MASSEPE,,,,,,,,,1,73,72,011,006
97449547,JUAL PAKAIAN <DALLA ULENG>,,JALAN DURIAN,,,08299800023,,,,,,1,73,72,020,001
97464622,PUSKESMAS CEMPAE,,JL PETTA ODDO NO 3,,,43991001,,PKM.CEMPAE@YAHOO.COM,,,,1,73,72,030,006
97464625,USAHA CICILAN BARANG (M CABU),,JALAN KESUMA NO 12,,,42385649,,,,,,1,73,72,011,006
97452162,BENGKEL LAS DICO (JAMDIN),,JALAN H AGUSSALIM NO 130,,,,,,,,,1,73,72,011,006
97452163,FIRA NET,,JALAN MATTIROTASI NO 57,,,0411425229,,,,,,1,73,72,011,006
97452165,ABU NOVAL PARFUM,,JALAN BAUMASSEPE,,,43209999,,,,,,1,73,72,011,006
97452172,JUAL PAKAIAN JADI (HAISYAH),,JL GLATIK BLOK B,,,4206450,,,,,,1,73,72,010,005
97447197,TOKO STREETH MERCH,,JALAN BAUMASSEPE,,,,,,,,,1,73,72,011,006
97456948,SMARFREN,,JALAN BAU MASSEPE NO 385,,,04109177,,,,,,1,73,72,020,002
97447245,STOKIST K LINK,,JL KEBUN SAYUR,,,411551484,,,,,,1,73,72,030,005
97447254,TOKO MAS KEMBANG,,JL LASINRANG NO 38,,,21692,,,,,,1,73,72,030,001
97452199,AMIGO VIDEO SUTING (CHERYL TAJUDDIN),,JALAN MANGKAU,,,33391972,,,,,,1,73,72,020,003
97452210,RAHMAT CELL,,JL ANDI MAKKASAU,,,42004567,,,,,,1,73,72,030,003
97450625,KONTER PULSA (JAMALUDDIN),,JL H. A M. ARSYAD,,,99208000,,JAMALUDDIN@YAHOO.COM,,,,1,73,72,030,006
97449625,TK GUPPI AL MUNAWARA,,JL. SWAKA ALAM LESTARI,,,081355673850,,,,,,1,73,72,011,002
97458119,DEPOT MALABO,,JL MUHAMMADIYAH,,,33707731,,,,,,1,73,72,030,004
97458132,GMY BAN (JUMADI),,JL INDUSTRI KECIL,,,366845204,,,,,,1,73,72,030,007
97458107,USAHA JUAL BERAS (JAMALU),,JL INDUSTRI KECIL,,,,,,,,,1,73,72,030,007
97447298,BENGKEL HONDA KURNIA MOTOR,,JALAN BAUMASSEPE NO 136,,,042122286,,,,,,1,73,72,011,006
97449022,WARUNG MAKAN KAPURUNG BAROBBO,,JL MATTIRO TASI NO.97,,,42306153,,,,,,1,73,72,011,006
97453890,PANGKALAN GAS ELPIJI (NURAENI),,JL ATLETIK NO 3,,,42551338,,,,,,1,73,72,020,005
97453080,TOKO ARTHA KARSA 1,,JALAN BAUMASSEPE NO I83,,,,,,,,,1,73,72,011,006
97453885,CAFE DAN RESTO GAZZAZ,,JALAN DAENG PARANI,,,081355802683,,,,,,1,73,72,020,002
97457042,USAHA MEUBEL (H. BAHAR),,JL INDUSTRI KECIL,,,197465766,,,,,,1,73,72,030,007
97453128,TOKO MULIA,,JALAN BAU MASSEPE NO 167,,,23819,,,,,,1,73,72,011,006
97458219,KOST KOSTAN (YULIUS BP),,JL LINTAS BRIMOB,,,081354813475,,,,,,1,73,72,011,002
97453131,TOKO EDO COLLECTION,,JALAN BAUMASSEPE NO 232,,,21189,,,,,,1,73,72,011,006
97449081,TOKO DUTA LISTRIK,,JALAN BAUMASSEPE NO 127,,,26120,,,,,,1,73,72,011,006
97454006,TOKO ASA CARLOS FASHION,,JL BAU MASSEPE,,,,,,,,,1,73,72,011,006
97446435,PAUD TERPADU MELATI (SKB),,JALAN H AGUSSALIM,,,,,,,,,1,73,72,011,006
97446430,MENJUAL WAJIK (ERNA),,JALAN BAUMASSEPE NO 13,,,17801628,,,,,,1,73,72,011,006
97447405,TOKO MUJUR,,JL SULTAN HASANUDDIN,,,41900988,,,,,,1,73,72,020,003
97453192,APOTEK LADAFFA,,JL ABUBAKAR LAMBOGO LORONG 24,,,142519817,,DEDEWAKKANG@YAHOO.COM,,,,1,73,72,030,004
97453197,KALTIM VARIASI,,JL MUH ARSYAD NO 7,,,89778615,,,,,,1,73,72,030,003
97459871,WARUNG KELONTONG (RATIH),,JALAN LAMBO,,,,,,,,,1,73,72,011,004
97459860,ALEX METRO GYM,,JL MUH ARSYAD NO 24,,,085397620697,,,,,,1,73,72,030,003
97449169,GAS MANDIRI,,JL MOH DJASIM NO 21,,,42004222,,,,,,1,73,72,030,001
97453259,TOKO ARTHA KARSA,,JALAN BAUMASSEPE NO 236,,,24248,,,,,,1,73,72,011,006
97453260,CAFE D CARLOS,,JL BAU MASSEPE,,,26755,,,,,,1,73,72,011,006
97453302,TK AL AHWAN,,JL INDUSTRI KECIL,,,55814188,,,,,,1,73,72,030,007
97459877,TOKO ZALZABILA,,JL LASINRANG NO 107,,,126607071,,,,,,1,73,72,030,001
97464241,JUAL TUPPERWARE(ITA PUSPITA),,JL PANTI ASUHAN LORONG,,,41385,,,,,,1,73,72,030,004
97464218,JUAL PAKAIAN JADI (YULIANTI),,JL SIRATAL MUSTAKIM,,,,,,,,,1,73,72,011,004
97464246,JUAL ON LINE ( NURMILA),,BTN GRIYA BUMI HARAPAN PERMAI,,,,,,,,,1,73,72,011,002
97451813,JUAL TUPPERWARE (YUSRI JAFAR),,JL OPU DG RISAJU LORONG,,,55227500,,,,,,1,73,72,030,004
97456544,TOKO HOKKY FISH,,JALAN VETERAN NO. 49,,,21791,,,,,,1,73,72,020,003
97453311,PRAKTEK DOKTER GIGI <HUSNUL HATIMAH>,,JL ABUBAKAR LAMBOGO LORONG NO 14,,,081355409227,,,,,,1,73,72,030,004
97459923,BENGKEL LAS (HERIANSYAH),,J L SUAKA ALAM LESTARI,,,,,,,,,1,73,72,011,002
97464304,AGEN GAS ELPIJI (HJ SOHRA),,JL BERINGIN,,,41265226,,,,,,1,73,72,011,002
97449272,TOKO ADIPURA,,JL BAU MASSEPE NO 1 25,,,3312357,,,,,,1,73,72,011,006
97451823,PESANTREN MTS ALMUNAWARA,,JL SWAKA ALAM LESTARI,,,081241720012,,,,,,1,73,72,011,002
97451007,TUKANG OJEK (ANWAR),,JLN BAU MASSEPE,,,20608710,,,,,,1,73,72,011,004
97453365,TOKO MAKMUR,,JALAN BAUMASSEPE,,,57343589,,,,,,1,73,72,011,006
97459972,BENGKEL ARYA,,JL LAHALEDE NO 40,,,55090126,,,,,,1,73,72,030,004
97459990,GEROBAK KUE (SUKMAWATI),,JALAN KESUMA TIMUR PENGINAPAN 1000 DISC,,,97189005,,,,,,1,73,72,011,006
97459992,USAHA GAME (SAID),,JALAN H AGUSSALIM,,,,,,,,,1,73,72,011,006
97449359,DUA PUTRA,,JL PETTANARAJENG,,,4217117,,,,,,1,73,72,030,003
97449362,TOKO SAHARA,,JALAN BAUMASSEPE NO 135,,,26402,,,,,,1,73,72,011,006
97449407,TK TPA ARRAHMANIA,,JL ANDI MAKKASAU NO 105,,,085299292948,,,,,,1,73,72,030,002
97451917,BENGKEL SETUJU MOTOR,,JL MATTIROTASI NO 71 B,,,,,,,,,1,73,72,011,006
97457838,PRAKTEK DOKTER UMUM,,JALAN.A.SULOLIPU,,,23767,,RENNYANGGREANY79@MHOO.COM,,,,1,73,72,020,003
97454715,BENGKEL VESPA (ANENG),,JALAN VETERAN,,,21190,,,,,,1,73,72,020,003
97450335,JUAL PAKAN TERNAK (A.YULIMAN),,JLN JENDRAL SUDIRMAN,,,46731242,,,,,,1,73,72,011,004
97451221,TOK O AK 792 COLLECTI ON,,JALAN BAUMASSEPE,,,,,,,,,1,73,72,011,006
97454939,WARUNG KELONTONG (ANDI FITRIANI),,JL KAKATUA,,,213557473,,,,,,1,73,72,010,005
97470842,LBIAS CARD,,JL JENDRAL AHMAD YANI,,,42243812,,,,,,1,73,72,020,005
97451279,PANGKALAN GAS ELPIJI 3 KG,,JL BAYAM NO10,,,255805234,,,,,,1,73,72,030,005
97451285,FRESH CALON,,JL LANGSAT,,,,,,,,,1,73,72,011,006
97451270,RUMAH MAKAN MIE KUNG FU,,JALAN BAUMASSEPE 417/175,,,042126755,,,,,,1,73,72,011,006
97470899,WARKOP SWEETNESS,,JL PETTA UNGA,,,46176519,,,,,,1,73,72,030,006
97451295,TUKANG EMAS SYARIFUDDIN,,JALAN LANGSAT NO 9,,,082322131103,,,,,,1,73,72,011,006
97451302,TOKO SINAR MATAHARI,,JALAN SULTANHASANUDDIN,,,21219,,,,,,1,73,72,020,003
97451345,TOKO DAS COMPUTER,,JALAN BAU MASSEPE NO 414,,,,,,,,,1,73,72,011,006
97451372,JUAL BAJU KOKO (HALIM),,JL BAU MASSEPE NO 149,,,22591,,,,,,1,73,72,011,006
97451358,TOKO SUZUKI BAUMASSEPE,,JALAN BAUMASSEPE NO 359/115,,,21178,,,,,,1,73,72,011,006
97465094,JUAL PAKAIAN JADI (NUR JAYA),,JL LINTAS BRIMOB,,,,,,,,,1,73,72,011,002
97466018,BENGKEL MOTOR (HERMAN),,JL PINISI,,,55900539,,,,,,1,73,72,011,004
97451397,PRODUK IFA ( MADINAH HJ),,JL ANDI MAKKASAU TIMUR,,,89882288,,RHONAKOE@GMAIL.COM,,,,1,73,72,030,004
97451396,TOKO TANPA NAMA,,J L ANDI MAKKASAU,,,081342786335,,,,,,1,73,72,030,003
97451402,LK P RIVANA,,JL MATTIROTASI NO 91,,,31200246,,,,,,1,73,72,011,006
97441943,JUAL PULSA (MULI),,JL LASINRANG NO 62,,,41553084,,,,,,1,73,72,030,001
97461444,WISMA MAWAR MELATI,,JALAN DELIMA,,,55640126,,,,,,1,73,72,020,002
97441951,APOTIK AULIA,,JALAN BAU MASSEPE,,,27897,,,,,,1,73,72,020,003
97466102,USAHA ABON IKAN BONSAI,,JL MESJID JABAL NUR,,,085217291822,,,,,,1,73,72,011,005
97442008,KELOMPOK USAHA BERSAMA,,JL MESJID JABAL NUR,,,299873557,,,,,,1,73,72,011,005
97471167,STAF MOTOR <H THAMRIN>,,JL.LAHALEDE,,,042127827,,,,,,1,73,72,030,002
97451663,TOKO KERAMIK (CARLOS ),,JALAN BAUMASSEPE NO 45,,,26755,,,,,,1,73,72,011,006
97465611,KOPERASI FISCA SARI,,JL JEND SUDIRMAN,,,08112555566,,,,,,1,73,72,011,004
97451666,SALON ADITYA,,JALAN H ABU BAKAR,,,,,,,,,1,73,72,020,003
97448472,APOTIK VINCENT,,JALAN SULTAN HASANUDDIN,,,24622,,,,,,1,73,72,020,003
97465527,GUDANG SEMEN BOSOWA H FIRDAUS,,JL JEND MUH YUSUF,,,4238295,,,,,,1,73,72,010,004
97448514,TOKO BUTIK SAS,,JALAN BAUMASSEPE NO 226,,,082347217574,,,,,,1,73,72,011,006
97455968,WARUNG TABUNG ELPIJI 3 KG,,JL ANDI LAETONG,,,55271024,,,,,,1,73,72,030,003
97455265,CAFE NOYA,,JL LANGSAT NO 11,,,96591810,,,,,,1,73,72,011,006
97455301,ALFIANI UD,,JL ANDI DEWANG,,,42570545,,,,,,1,73,72,011,003
97455363,TOKO SARI,,JALAN SULTAN HASANUDDIN NO.48,,,21700,,,,,,1,73,72,020,003
97452431,PRAKTEK DOKTER GIGI (MERLY),,JALAN BAUMASSEPE,,,25452,,,,,,1,73,72,011,006
97452409,TOKO MITHA,,JALAN BAUMASSEPE NO 169,,,40849819,,,,,,1,73,72,011,006
97452432,TIKI,,JL MUH ARSYAD NO 4 6,,,042121954,,,WWW.TIKI.ONLINE.COM,,,1,73,72,030,003
97455408,ARYA SHOP,,JL JEND AHMAD YANI,,,24359999,,,,,,1,73,72,030,007
97452441,BUTIK UNGU COLECTION,,JALAN BAUMASSEPE,,,,,,,,,1,73,72,011,006
97459629,HOTEL GRAND STAR,,JL DG PAWERO NO 12,,,28289,,hotelgrandstar2009ag@mail.com,,,,1,73,72,030,001
97455552,AL DAN EL LAUNORY,,JL MUHAMMADIYAH,,,55698614,,,,,,1,73,72,030,004
97459667,PENYEWAAN KAMAR(HARMIADI),,JL JEND SUDIRMAN,,,96166797,,,,,,1,73,72,011,004
97463987,TV KABEL (H BAHARUDDIN),,JL KAKA TUA,,,34472501,,,,,,1,73,72,010,005
97463988,MEGA UTAMA,,JL ANDI SINTA,,,081342660399,,,,,,1,73,72,030,004
97459675,TOKO SINAR MOTOR,,JALAN ANDI MAKKASAU NO. 90,,,25668,,,,,,1,73,72,020,003
97459676,TOKO MEWAH ALUMINIUM,,JALAN SULTAN HASANUDDIN,,,22497,,,,,,1,73,72,020,003
97454139,PUSKESMAS LAKESSI,,JL. MUHAMMAD ARSYAD NO. 15,,,081354821400,,,,,,1,73,72,030,002
97455624,USAHA PENYEWAAN KAMAR (MUHAMMAD ARIFIN),,JALAN PINISI,,,42240403,,,,,,1,73,72,011,004
97455621,VISUAL TV KABEL,,JL MUH ARSYAD NO 38 C,,,99769188,,,,,,1,73,72,030,003
97452646,TOKO RACLE,,JALAN BAUMASSEPE NO 240,,,94777917,,,,,,1,73,72,011,006
97455632,USAHA MEUBEL 88,,JALAN BAU MASSEPE,,,22514,,,,,,1,73,72,011,004
97452714,BENGKEL LAS FARAH,,JL WISATA JOMPIE,,,42407843,,,,,,1,73,72,030,007
97454191,JALANKOTE SURABAYA,,J L OPU. DG RISAJU,,,5759444,,,,,,1,73,72,030,004
97452759,WARUNG KELONTONG (DIANNA),,JL KAKATUA 2 BLOK B,,,590033936,,,,,,1,73,72,010,005
97452805,HOTEL GRAHA INDAH,,JL BAU MASSEPE,,,,,,,,,1,73,72,011,001
97452809,JUAL KALIGRAFI(CATUR),,BTN MULA RESKY JL BUKIT MADANI,,,26851399,,,,,,1,73,72,020,005
97455735,TOKO MIFTA,,JALAN BAU MASSEPE,,,95858369,,,,,,1,73,72,011,004
97455737,DISTRO ADRENALIN,,JL LAHALEDE,,,91541546,,,,,,1,73,72,030,004
97454256,ANEKA AKI,,JL LAHALEDE,,,55559461,,,,,,1,73,72,030,004
97454239,APOTEK DHARMA HUSADA,,JALAN.A. SULOLIPU NO 41,,,042125858,,,,,,1,73,72,020,003
97454290,KOST KOSTAN REMAJA,,JL.DURIAN NO.10,,,,,,,,,1,73,72,011,006
97452882,WARKOP LAKIDI,,JALAN BAUMASSEPE NO 155,,,21202,,,,,,1,73,72,011,006
97455840,DISRIBUTOR GAS ELPIJI ( WARDI),,BTN GRIYA BUMI HARAPAN PERMAI,,,,,,,,,1,73,72,011,002
97455912,NOTARIS HABIBAH,,JALAN USMAN ISA,,,421658,,,,,,1,73,72,020,002
97473400,STAND PELITA (H GAFFAR),,JL. LASINRANG,,,37054187,,,,,,1,73,72,030,002
97455957,RIVER LADOMA,,JL. PUANG HALIDE,,,01557024,,,,,,1,73,72,010,002
97470712,TUKANG KAYU (AMIR),,JALAN KESUMA TIMUR,,,,,,,,,1,73,72,011,006
97468470,JUAL PULSA HP ( MUSRIN MALILU),,JL PANTI ASUHAN,,,43517777,,,,,,1,73,72,030,004
97476171,PENJUAL AKSESORIS (FITRI),,JALAN LASINRANG PA\AR LAKESSI,,,99716007,,,,,,1,73,72,030,002
97476868,PLANET KIDS,,JALAN BAU MASSEPE NO 278,,,11302877,,,,,,1,73,72,020,001
97476918,PENJAHIT PAKAIAN (UMAR BAKRI),,JL REFORMASI,,,,,,,,,1,73,72,011,005
97473549,JUAL KELONTONG (KASMI),,JALAN PINGGIR LAUT,,,55152078,,,,,,1,73,72,020,003
97466969,TOKO SAKINAH,,JL LASINRANG NO 95,,,96599806,,,,,,1,73,72,030,001
97476321,SHUNSHIRO,,JL BAU MASSEPE,,,41889168,,,,,,1,73,72,011,003
97473620,STAND HJ CANCI,,PASAR SENTRAL SEMI MODERN LAKESSI,,,,,,,,,1,73,72,030,002
97473608,SLB NEGERI,,JL MELINGKAR,,,,,,,,,1,73,72,030,007
97477121,PENJAHIT PAKAIAN (HASMI),,JALAN KESUMA TIMUR,,,,,,,,,1,73,72,011,006
97468673,ANISA SETIA TUPPERWARE (H ANDI ISHAK),,JL SAPTA MARGA <PERUMAHAN PANTAI INDAH SOREANG>,,,48660328,,,,,,1,73,72,030,006
97473688,HOTEL KUMALA SARI,,JALAN CALAKARA NO 5,,,28659,,,,,,1,73,72,020,001
97467376,TOKO SAFIR HIKMAH,,JALAN BAU MASSEPE,,,42479119,,,,,,1,73,72,011,001
